site_id,country,recruitment_target
S001,Germany,166
S002,Germany,91
S003,Germany,140
S004,USA,221
S005,Germany,229
S006,UK,205
S007,USA,186
S008,USA,91
S009,Canada,147
S010,Germany,286
S011,Australia,106
S012,Germany,265
S013,UK,108
S014,UK,256
S015,Germany,152
S016,Germany,66
S017,USA,283
S018,Australia,274
S019,Germany,104
S020,Canada,151
S021,Canada,86
S022,Germany,85
S023,USA,240
S024,Australia,187
S025,Germany,241
S026,Australia,159
S027,Australia,152
S028,Germany,106
S029,USA,180
S030,Canada,73
